method,term,mean_rel_imp,sd_rel_imp,clean_term,responseGroup,tier,tier_label,response,response_tier
ensemble,CW_mean_species_body_mass,2.49706829013834,0.65413528232955,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,MAP,42.5775433128102,3.14602825128534,MAP (mm),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,MAT,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,browser_biomass_kgkm2,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,elevation_sd_1000,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,fire_events_since_2001,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,grazer_biomass_kgkm2,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,herbi_biomass_kgkm2,0.663519419553872,0.388872792932622,Herbivore biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,herbi_fun_div_distq1,2.30081881829154,0.730422495912529,Herbivore functional diversity,Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,mixed_feeder_biomass_kgkm2,0.762441423404711,0.463180833687133,Mixed feeder biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,n_herbi_sp_reserve,0.589225773087616,0.380487269065998,Herbivore species richness,Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,prop_burned_area,1.71348889513289,0.749956215492625,Proportion burned area,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,CW_mean_species_body_mass,2.49706829013834,0.65413528232955,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,MAP,42.5775433128102,3.14602825128534,MAP (mm),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,MAT,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,browser_biomass_kgkm2,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,elevation_sd_1000,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,fire_events_since_2001,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,grazer_biomass_kgkm2,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,herbi_biomass_kgkm2,0.663519419553872,0.388872792932622,Herbivore biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,herbi_fun_div_distq1,2.30081881829154,0.730422495912529,Herbivore functional diversity,Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,mixed_feeder_biomass_kgkm2,0.762441423404711,0.463180833687133,Mixed feeder biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,n_herbi_sp_reserve,0.589225773087616,0.380487269065998,Herbivore species richness,Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,prop_burned_area,1.71348889513289,0.749956215492625,Proportion burned area,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
ensemble,CW_mean_species_body_mass,6.29901961267907,0.973311122872735,Mean body mass (kg; cwm),Herbivory,main,Full model,tree_cover_mean,tree_cover_mean_main
ensemble,MAP,31.194878646513,2.31711971953751,MAP (mm),Environmental,main,Full model,tree_cover_mean,tree_cover_mean_main
ensemble,MAT,31.6846178664779,2.31327556289868,MAT (°C),Environmental,main,Full model,tree_cover_mean,tree_cover_mean_main
ensemble,fire_events_since_2001,0.142865372954766,0.358012421929144,Fire frequency,Fire,main,Full model,tree_cover_mean,tree_cover_mean_main
ensemble,herbi_biomass_kgkm2,10.4032155391016,1.4798691983595,Herbivore biomass (kg/km²),Herbivory,main,Full model,tree_cover_mean,tree_cover_mean_main
ensemble,prop_burned_area,2.84335304109379,1.34924245260571,Proportion burned area,Fire,main,Full model,tree_cover_mean,tree_cover_mean_main
ensemble,CW_mean_species_body_mass,4.79252545447913,0.95000280514699,Mean body mass (kg; cwm),Herbivory,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,MAP,27.0752281511585,3.18811884511174,MAP (mm),Environmental,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,MAT,24.5260260469338,2.84160627834717,MAT (°C),Environmental,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,browser_biomass_kgkm2,4.14248387033388,1.26064199541379,Browser biomass (kg/km²),Herbivory,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,elevation_sd_1000,12.7836409268186,1.40838645601707,Elevation SD (m),Environmental,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,fire_events_since_2001,0.146630264466452,0.209393622351493,Fire frequency,Fire,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,grazer_biomass_kgkm2,2.49931506924692,0.958416364152199,Grazer biomass (kg/km²),Herbivory,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,herbi_biomass_kgkm2,1.84689328986063,0.757374991703152,Herbivore biomass (kg/km²),Herbivory,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,herbi_fun_div_distq1,2.29631464287149,0.655335826578375,Herbivore functional diversity,Herbivory,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,mixed_feeder_biomass_kgkm2,1.57745426010701,0.612681949193633,Mixed feeder biomass (kg/km²),Herbivory,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
ensemble,n_herbi_sp_reserve,0.757295150754284,0.459580031537246,Herbivore species richness,Herbivory,main,Full model,tree_cover_sd_100,tree_cover_sd_100_main
