WDPAID,WDPA_PID,PA_DEF,NAME,DESIG_ENG,IUCN_CAT,GIS_AREA,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,Biome,unique_id,lon,lat,elevation,chelsa_map,chelsa_mat,n_deposition,fire_frequency,venter_woody_cover_trend,mean_burned_area,mean_prec,mean_mat,mean_woody_cover,mat_coef,mat_p_value,prec_coef,prec_p_value,burned_area_coef,burned_area_p_value,woody_cover_change,woody_cover_ha_p_value,woody_cover_sd_ha_coef,woody_cover_sd_ha_p_value,woody_cover_sd_km_coef,woody_cover_sd_km_p_value,mean_woody_cover_sd_ha,mean_woody_cover_sd_km,mat_change,prec_change
873,873,1,Kruger National Park,National Park,Not Reported,19171.6130057939,0.0157873973937153,0.0153448188031565,0.0152883021083676,0.0158412999655521,0.0154433055496219,Savanna,873,31.4687291697158,-24.0151211861737,343.95947265625,551.861999511719,22.7205867767334,293.870391845703,3.18027353286743,0.390505343675613,0.0804094627771216,540.364478478065,22.6849206777719,29.3910049438477,0.0171989604972205,0.103737452394066,1.43541164769327,0.613708247261631,-0.00281618841996264,0.14437483271905,3.07472886817306,0.0213918142430663,0.934556494968189,0.0024200644678228,1.32745011824226,0.00323758310812491,14.1768990516663,24.5591068267822,0.0758167098819662,0.265637676950214
874,874,1,Kalahari Gemsbok National Park,National Park,Not Reported,9589.55020962101,-0.00485781501601951,-0.00456856401988276,-0.00431307893073324,-0.00415693585072874,-0.00415058812378072,Savanna,874,20.3550072540942,-25.6847476472759,972.121032714844,203.826797485352,21.3668804168701,183.183532714844,0.884874820709229,0.0808267295360565,0.019162336670493,222.777283106095,21.6202515333127,0.00125157228355874,0.0261693247190817,0.0130370105401128,-1.28160904360369,0.427349518247762,0.00170400524940434,0.268152382404113,-0.000767961914050101,0.471072144771606,-0.00150614089533901,0.485107703863574,-0.00371769624203158,0.516285834540447,0.00259404796897798,0.00686270491582945,0.121040796767604,-0.575287132392822
875,875,1,Addo-Elephant National Park,National Park,Not Reported,1377.41624773986,-0.0144169695646746,-0.0140570410052645,-0.0135532915432388,-0.0144127171362363,-0.0162200861266038,Albany Thicket,875,25.5860116445008,-33.3831161406087,330.536865234375,475.867462158203,18.0553855895996,188.798370361328,0.386581420898438,0.102862000465393,0.0103645625179828,435.297114445613,17.9499044662867,53.6848098754883,0.00882803926875015,0.12169660422418,-1.65900326968494,0.21953454923129,-0.000245111594864195,0.53987157293724,0.236112764532598,0.373751099903281,-0.0837585452520647,0.21650276383316,-0.138715462870764,0.0874958214033639,9.64047393798828,24.2388032913208,0.0491815390178308,-0.381119748932363
876,876,1,Karoo National Park,National Park,Not Reported,822.317896624952,-0.0266305564362803,-0.0260207854239634,-0.0284339016128099,-0.0316970267615576,-0.0349899680690247,Nama-Karoo,876,22.2935809856762,-32.2524734028975,1065.60314941406,290.223785400391,16.9443759918213,165.145248413086,0.0786072537302971,0.205306559801102,0.00260767613019208,346.076266557742,17.2808155891223,0.626812498271465,0.0204224538701878,0.015876607548642,-1.97066549178862,0.242008049575258,-6.74300254034785e-05,0.745690953054087,-0.0285574926229226,0.847848826746265,-0.0152764850051461,0.922335332971629,-0.00788341513097524,0.97231255157887,0.772349227964878,2.09514857828617,0.118179919025599,-0.569430984502319
877,877,1,Mountain Zebra National Park,National Park,Not Reported,202.472489346132,-0.0118610531463168,-0.0113530477862912,-0.0119996420489254,-0.0124171669214364,-0.013982564068109,Grassland,877,25.4542941306005,-32.1965180459731,1277.20495605469,470.3466796875,14.784704208374,217.168685913086,0.27810275554657,0.618793725967407,0.0044663201132001,618.81432009966,14.8123245972853,3.63751343488693,0.014676607611267,0.0543193106725634,-2.47077223032048,0.291969409768133,-8.44172629768239e-06,0.978962325487883,0.215732417122302,0.0967741379012611,0.166021177537847,0.104798737193457,0.436426931565524,0.0797708650895199,3.36023468971252,9.27699065208435,0.099083756333269,-0.399275218763937
878,878,1,Augrabies Falls National Park,National Park,Not Reported,493.537407102078,-0.0119402165036912,-0.0112113443706145,-0.0104842679066759,-0.010159087976989,-0.0106652216073835,Nama-Karoo,878,20.1592684620132,-28.5317203590462,652.821044921875,122.673484802246,21.5950946807861,139.423675537109,0.00101141456980258,0.128275781869888,5.01805698149838e-06,145.861490005102,21.5706599308894,0.324922943115234,0.0192511377301893,0.0379184516843499,-1.26996791606884,0.284891419612465,9.00299131639466e-07,0.202023114084668,-0.0115480124943009,0.482838522985537,-0.0149410764342026,0.292723210235509,-0.033222271334615,0.339876686521509,0.272159196436405,0.601806491613388,0.0892468649168282,-0.870667039000093
879,879,1,Golden Gate Highlands National Park,National Park,Not Reported,330.942441387319,0.00907843980645472,0.00874808287331998,0.00857887436985937,0.0084240746898105,0.00976323415312112,Grassland,879,28.6653216587948,-28.4912911675568,1951.57739257813,895.836242675781,12.385066986084,527.364074707031,9.07328414916992,0.529454290866852,0.168434084548304,1109.24614226512,12.1691715778449,6.92079906463623,0.0359886341062169,0.000749609254350692,-7.11010148678345,0.031136650200072,-0.00381528330290698,0.170060377669992,0.312957265898859,0.0591762418413688,0.116812721617331,0.356670348790273,0.517915861181537,0.00850640753410846,6.59874491691589,14.495192527771,0.295736105584521,-0.640985009176085
881,881,1,Garden Route National Park,National Park,Not Reported,1257.88700275057,-0.0292034381987805,-0.0279180024121493,-0.0292178927459241,-0.0295451514163149,-0.0292736135260016,Fynbos,881,23.2424874410803,-33.9021167120991,456.137603759766,850.903930664063,15.7225513458252,155.782608032227,0.813576817512512,-0.465093851089478,0.0242251497062019,701.535981789613,16.0052178945297,83.1683059692383,0.0115959553435132,0.0368759948512377,-4.49338261909752,0.00392241807967754,0.000326813865824395,0.793612949709866,-0.237970987934252,0.817881424550583,0.120705392625032,0.759931373142022,0.247520870611265,0.752421718886555,7.83220844268799,20.1176626205444,0.0724510932617574,-0.64050636542333
882,882,1,Bontebok National Park,National Park,Not Reported,34.1373592260439,-0.0524151844765705,-0.0536461329852734,-0.05767532827345,-0.0563119828556147,-0.0562232011336002,Fynbos,882,20.4661716402074,-34.0667446593639,91.7394104003906,522.6083984375,17.6093654632568,94.8234405517578,0.791347503662109,0.0898578986525536,0.0250304451134677,409.690602229192,17.0215957103631,13.3757881641388,0.0146732011276439,0.0293980052006128,-0.736628644694596,0.450048505776346,-0.00337431436784466,1.72002589450474e-06,-0.448086639210603,0.747206953478697,-0.293673887492164,0.672404434019201,-0.588979023701248,0.634652955672212,9.16545720100403,19.8182571411133,0.0862034404841997,-0.179801206248443
1350,1350,1,Itala Nature Reserve,Nature Reserve,Not Reported,290.608094671487,0.0113998800225296,0.0109450427072978,0.01055586530379,0.0109783571302554,0.0115326615399192,Savanna,1350,31.2888592243975,-27.5034803944784,754.01025390625,774.35693359375,18.5684356689453,524.297241210938,2.30775785446167,0.846807599067688,0.0527941068673196,871.638449644431,17.854925204546,49.1960273742676,0.0137001727439293,0.0996976614278294,-0.677401092012038,0.829623276829179,-0.000454273912613476,0.732548236923805,2.38244015219375,0.00214561818111118,-0.165116112891545,0.00581958896183437,-0.0239867801887312,0.757191058754763,16.9752653121948,33.4305423736572,0.0767304964147432,-0.0777158341613282
